VulnID;OccuType;DmgType;VulnType;HydroValue;Damage;Original code
1;13300;2;1;5.1816;0.82;IND6
1;13300;2;1;5.4864;0.82;IND6
1;13300;2;1;5.7912;0.82;IND6
1;13300;2;1;6.096;0.83;IND6
1;13300;2;1;6.4008;0.83;IND6
1;13300;2;1;6.7056;0.83;IND6
1;13300;2;1;7.0104;0.83;IND6
1;13400;1;1;-1.2192;0;AGR1
1;13400;1;1;-0.9144;0;AGR1
1;13400;1;1;-0.6096;0;AGR1
1;13400;1;1;-0.3048;0;AGR1
1;13400;1;1;0;0;AGR1
1;13400;1;1;0.3048;0.06;AGR1
1;13400;1;1;0.6096;0.11;AGR1
1;13400;1;1;0.9144;0.15;AGR1
1;13400;1;1;1.2192;0.19;AGR1
1;13400;1;1;1.524;0.25;AGR1
1;13400;1;1;1.8288;0.3;AGR1
1;13400;1;1;2.1336;0.35;AGR1
1;13400;1;1;2.4384;0.41;AGR1
1;13400;1;1;2.7432;0.46;AGR1
1;13400;1;1;3.048;0.51;AGR1
1;13400;1;1;3.3528;0.57;AGR1
1;13400;1;1;3.6576;0.63;AGR1
1;13400;1;1;3.9624;0.7;AGR1
1;13400;1;1;4.2672;0.75;AGR1
1;13400;1;1;4.572;0.79;AGR1
1;13400;1;1;4.8768;0.82;AGR1
1;13400;1;1;5.1816;0.84;AGR1
1;13400;1;1;5.4864;0.87;AGR1
1;13400;1;1;5.7912;0.89;AGR1
1;13400;1;1;6.096;0.9;AGR1
1;13400;1;1;6.4008;0.92;AGR1
1;13400;1;1;6.7056;0.93;AGR1
1;13400;1;1;7.0104;0.95;AGR1
1;13400;1;1;7.3152;0.96;AGR1
1;13400;2;1;-1.2192;0;AGR1
1;13400;2;1;-0.9144;0;AGR1
1;13400;2;1;-0.6096;0;AGR1
1;13400;2;1;-0.3048;0;AGR1
1;13400;2;1;0;0.06;AGR1
1;13400;2;1;0.3048;0.2;AGR1
1;13400;2;1;0.6096;0.43;AGR1
1;13400;2;1;0.9144;0.58;AGR1
1;13400;2;1;1.2192;0.65;AGR1
1;13400;2;1;1.524;0.66;AGR1
1;13400;2;1;1.8288;0.66;AGR1
1;13400;2;1;2.1336;0.67;AGR1
1;13400;2;1;2.4384;0.7;AGR1
1;13400;2;1;2.7432;0.75;AGR1
1;13400;2;1;3.048;0.76;AGR1
1;13400;2;1;3.3528;0.76;AGR1
1;13400;2;1;3.6576;0.76;AGR1
1;13400;2;1;3.9624;0.77;AGR1
1;13400;2;1;4.2672;0.77;AGR1
1;13400;2;1;4.572;0.77;AGR1
1;13400;2;1;4.8768;0.78;AGR1
1;13400;2;1;5.1816;0.78;AGR1
1;13400;2;1;5.4864;0.78;AGR1
1;13400;2;1;5.7912;0.79;AGR1
1;13400;2;1;6.096;0.79;AGR1
1;13400;2;1;6.4008;0.79;AGR1
